Acct,junk
48808790,0
48809037,0
48809052,0
48809201,0
48809342,0
48809394,0
48809414,0
48809966,0
48809990,0
48810085,0
48810151,0
48810186,0
48810276,0
48810321,0
48810536,0
48811205,0
48811443,0
48812603,0
48813969,0
48815204,0
48815508,0
48815859,0
48819535,0
48823036,0
48825456,0
48826056,0
48826353,0
48826541,0
48826617,0
48827417,0
48827990,0
48828444,0
48829027,0
48832417,0
48837552,0
48840904,0
48843376,0
48843490,0
48844498,0
48845073,0
48845774,0
48846020,0
48847411,0
48850285,0
48850358,0
48850599,0
48851786,0
48853093,0
48854069,0
48857531,0
48860672,0
48862050,0
48863561,0
48863617,0
48863778,0
48864050,0
48864267,0
48864318,0
48864390,0
48864665,0
48864840,0
48865383,0
48866185,0
48866277,0
48866471,0
48866486,0
48866709,0
48866735,0
48866879,0
48866945,0
48867236,0
48868355,0
48869044,0
48869184,0
48869536,0
48869575,0
48869614,0
48870189,0
48870389,0
48870744,0
48871083,0
48872843,0
48872900,0
48874850,0
48874956,0
48875299,0
48876240,0
48876924,0
48879377,0
48880825,0
48881010,0
48882013,0
48882910,0
48883210,0
48883251,0
48883665,0
48885846,0
48886543,0
48886841,0
48887381,0
48887473,0
48888269,0
48889400,0
48891055,0
48891415,0
48896131,0
48896186,0
48896879,0
48896933,0
48897005,0
48897117,0
48897309,0
48897357,0
48897380,0
48897658,0
48897780,0
48898115,0
48898212,0
48898295,0
48898593,0
48898676,0
48898700,0
48898913,0
48899206,0
48899668,0
48899933,0
48900270,0
48900344,0
48900388,0
48900454,0
48900990,0
48901267,0
48902266,0
48902330,0
48902457,0
48902479,0
48902501,0
48902614,0
48902646,0
48904513,0
48906278,0
48906818,0
48906996,0
48907687,0
48908408,0
48909507,0
48911671,0
48912612,0
48913197,0
48913200,0
48913353,0
48913570,0
48913742,0
48913757,0
48913789,0
48913872,0
48913882,0
48913896,0
48914074,0
48914088,0
48914462,0
48914557,0
48914696,0
48915021,0
48915043,0
48915060,0
48915434,0
48915446,0
48915863,0
48915973,0
48916094,0
48916176,0
48916705,0
48917067,0
48917174,0
48917559,0
48917751,0
48917833,0
48917943,0
48918031,0
48918070,0
48918089,0
48918241,0
48918616,0
48918703,0
48918957,0
48919212,0
48919408,0
48920124,0
48920484,0
48920645,0
48921284,0
48922249,0
48922725,0
48923881,0
48928377,0
48929870,0
48930085,0
48930102,0
48930326,0
48930374,0
48930403,0
48930774,0
48930799,0
48931208,0
48931478,0
48931616,0
48931754,0
48931881,0
48932177,0
48932273,0
48932277,0
48932683,0
48932711,0
48933102,0
48933108,0
48933321,0
48934296,0
48934382,0
48934550,0
48935109,0
48935203,0
48935404,0
48935450,0
48935500,0
48935732,0
48935740,0
48936398,0
48939816,0
48940400,0
48942255,0
48942947,0
48943279,0
48950926,0
48951082,0
48952343,0
48952506,0
48953005,0
48953903,0
48954818,0
48956300,0
48956502,0
48958045,0
48958660,0
48962916,0
48963566,0
48967646,0
48969566,0
48970150,0
48970544,0
48971124,0
48971742,0
48971978,0
48973777,0
48974826,0
48975299,0
48979166,0
48981856,0
48985205,0
48987769,0
48988170,0
48988924,0
48989379,0
48989525,0
48989630,0
48989937,0
48990009,0
48990271,0
48990542,0
48990548,0
48990572,0
48990579,0
48990675,0
48990930,0
48990941,0
48991510,0
48991915,0
48991998,0
48992785,0
48993530,0
48993575,0
48993858,0
48993983,0
48993986,0
48994197,0
48994332,0
48994464,0
48994656,0
48995470,0
48996282,0
48996766,0
48997062,0
48997097,0
48997352,0
48999211,0
49001139,0
49002832,0
49005099,0
49006197,0
49006274,0
49006338,0
49006353,0
49006467,0
49006556,0
49006561,0
49006570,0
49006581,0
49006594,0
49006734,0
49006784,0
49006881,0
49006960,0
49007061,0
49007085,0
49007104,0
49007402,0
49007520,0
49007961,0
49008168,0
49008216,0
49008243,0
49008752,0
49008792,0
49009314,0
49009481,0
49009745,0
49009832,0
49009886,0
49009989,0
49010613,0
49010669,0
49010732,0
49010738,0
49011072,0
49011211,0
49011378,0
49011746,0
49012030,0
49012277,0
49012425,0
49012476,0
49012510,0
49012649,0
49013225,0
49013422,0
49013586,0
49015672,0
49017609,0
49020034,0
49021140,0
49022336,0
49022573,0
49022844,0
49023009,0
49023293,0
49023375,0
49023667,0
49023729,0
49023919,0
49023986,0
49024022,0
49024147,0
49024336,0
49024344,0
49024438,0
49024572,0
49024649,0
49024740,0
49024885,0
49024892,0
49024958,0
49025174,0
49025444,0
49025456,0
49025582,0
49025629,0
49025902,0
49025989,0
49025993,0
49026256,0
49026311,0
49026634,0
49027131,0
49027227,0
49027661,0
49027741,0
49027785,0
49028287,0
49028530,0
49029187,0
49029514,0
49031133,0
49032058,0
49032082,0
49035359,0
49036616,0
49036729,0
49038228,0
49038827,0
49039648,0
49039863,0
49040261,0
49040967,0
49041301,0
