accountType|accountNumber|seniorAccountNumber|invoice_no|bill_date|debit|credit
A2|42332042|42332041|832157167|2017-04-28|0|0
A2|42332042|42332041|858705698|2017-05-28|0|0
A3|42332044|42332042|866697041|2017-06-05|5.95|5.95
A3|42332044|42332042|866776102|2017-06-05|5.95|5.95
A3|42332044|42332042|866784680|2017-06-05|6.52|6.52
A3|42332044|42332042|866860107|2017-06-05|5.95|5.95
A3|42332044|42332042|867552923|2017-06-06|5.95|5.95
A3|42332044|42332042|867590418|2017-06-06|5.95|5.95
A3|42332044|42332042|867660201|2017-06-06|5.95|5.95
A3|42332044|42332042|867670142|2017-06-06|6.52|6.52
A3|42332044|42332042|867720458|2017-06-06|18.43|18.43
A3|42332044|42332042|868504131|2017-06-07|5.95|5.95
A3|42332044|42332042|868511803|2017-06-07|6.52|6.52
A3|42332044|42332042|868560684|2017-06-07|5.95|5.95
A3|42332044|42332042|869323089|2017-06-08|5.95|5.95
A3|42332044|42332042|869407661|2017-06-08|5.95|5.95
A3|42332044|42332042|869419969|2017-06-08|5.95|5.95
A3|42332044|42332042|869484849|2017-06-08|6.52|6.52
A3|42332044|42332042|869494219|2017-06-08|5.95|5.95
A3|42332044|42332042|870076667|2017-06-09|5.95|5.95
A3|42332044|42332042|870116403|2017-06-09|5.95|5.95
A3|42332044|42332042|870157843|2017-06-09|5.95|5.95
A3|42332044|42332042|870302514|2017-06-09|5.95|5.95
A3|42332044|42332042|870303978|2017-06-09|5.95|5.95
A3|42332044|42332042|870304829|2017-06-09|5.95|5.95
A3|42332044|42332042|870306114|2017-06-09|5.95|5.95
A3|42332044|42332042|870306653|2017-06-09|5.95|5.95
A3|42332044|42332042|870307311|2017-06-09|5.95|5.95
A3|42332044|42332042|870307924|2017-06-09|5.95|5.95
A3|42332044|42332042|870309157|2017-06-09|5.95|5.95
A3|42332044|42332042|870312842|2017-06-09|5.95|5.95
A3|42332044|42332042|870313712|2017-06-09|6.52|6.52
A3|42332044|42332042|870349739|2017-06-09|5.95|5.95
A3|42332044|42332042|872760332|2017-06-12|5.95|5.95
A2|42895450|42895449|833305016|2017-05-02|0|0
A2|42895450|42895449|863355832|2017-06-02|0|0
A2|41287094|41287093|827487946|2017-04-19|0|0
