Acct,junk
50668579,0
50668913,0
50668969,0
50669070,0
50669319,0
50669437,0
50669965,0
50670318,0
50670397,0
50670403,0
50670712,0
50671754,0
50672269,0
50672862,0
50673234,0
50673522,0
50675297,0
50675680,0
50677282,0
50681287,0
50683002,0
50683029,0
50686239,0
50686438,0
50686633,0
50686639,0
50686922,0
50687512,0
50687647,0
50687789,0
50688335,0
50688371,0
50688991,0
50690228,0
50690320,0
50690521,0
50691458,0
50691894,0
50692219,0
50692844,0
50693326,0
50694134,0
50695154,0
50697206,0
50697608,0
50699741,0
50700858,0
50706247,0
50706478,0
50707343,0
50707379,0
50707614,0
50708215,0
50708754,0
50708962,0
50709074,0
50709419,0
50709666,0
50709773,0
50710406,0
50710507,0
50710531,0
50710695,0
50710728,0
50711571,0
50712467,0
50713019,0
50714190,0
50714194,0
50718490,0
50723816,0
50724335,0
50728471,0
50729146,0
50730753,0
50732438,0
50738896,0
50739246,0
50742462,0
50750589,0
50751726,0
50753486,0
50754032,0
50763513,0
50768439,0
50777061,0
50777134,0
50777782,0
50778101,0
50778230,0
50778990,0
50779162,0
50779353,0
50779375,0
50779669,0
50780003,0
50780021,0
50780086,0
50780201,0
50780304,0
50780607,0
50780636,0
50780725,0
50780957,0
50781366,0
50781628,0
50781905,0
50783106,0
50783188,0
50783539,0
50783579,0
50784050,0
50784193,0
50784732,0
50784850,0
50785751,0
50792130,0
50792837,0
50796381,0
50796485,0
50796998,0
50797064,0
50797385,0
50797407,0
50797644,0
50797711,0
50797811,0
50797835,0
50798036,0
50798231,0
50798436,0
50798440,0
50799729,0
50800334,0
50800803,0
50800900,0
50801442,0
50801484,0
50801556,0
50812842,0
50814020,0
50814572,0
50815175,0
50816405,0
50816822,0
50816838,0
50817165,0
50818286,0
50818464,0
50818847,0
50818915,0
50818919,0
50819026,0
50819342,0
50819537,0
50819550,0
50820037,0
50820099,0
50822460,0
50822995,0
50823677,0
50823697,0
50827183,0
50829780,0
50833479,0
50833576,0
50833628,0
50833833,0
50833969,0
50834980,0
50835569,0
50835780,0
50835982,0
50836084,0
50836924,0
50837372,0
50837691,0
50838013,0
50838602,0
50839568,0
50839931,0
50840401,0
50843249,0
50843355,0
50843368,0
50843853,0
50844603,0
50847642,0
50848463,0
50851634,0
50852199,0
50852214,0
50852845,0
50853230,0
50853542,0
50853593,0
50854047,0
50854060,0
50854141,0
50854430,0
50854528,0
50854954,0
50855127,0
50856392,0
50856616,0
50857033,0
50858579,0
50859408,0
50859750,0
50859904,0
50860274,0
50861723,0
50870993,0
50871090,0
50872469,0
50872714,0
50873040,0
50878937,0
50884673,0
50886245,0
50887029,0
50890414,0
50893099,0
50896045,0
50896778,0
50898547,0
50898676,0
50900391,0
50900409,0
50902981,0
50904636,0
50907013,0
50908320,0
50911582,0
50918382,0
50918929,0
50919407,0
50919495,0
50920057,0
50920341,0
50920625,0
50920721,0
50920820,0
50921664,0
50922197,0
50922292,0
50922296,0
50922432,0
50922714,0
50923134,0
50923605,0
50923846,0
50924335,0
50925007,0
50926569,0
50926920,0
50926977,0
50926978,0
50927506,0
50927526,0
50929570,0
50929661,0
50939046,0
50939260,0
50939631,0
50939733,0
50940996,0
50941007,0
50941279,0
50941567,0
50941620,0
50942655,0
50942965,0
50943357,0
50943451,0
50943589,0
50943667,0
50944148,0
50944301,0
50945226,0
50945492,0
50945663,0
50946120,0
50946362,0
50947371,0
50948260,0
50948763,0
50952093,0
50956009,0
50958483,0
50958650,0
50958811,0
50958883,0
50958916,0
50959135,0
50959276,0
50959438,0
50959541,0
50959809,0
50960135,0
50960281,0
50960680,0
50961194,0
50961923,0
50962031,0
50962577,0
50962798,0
50963018,0
50966131,0
50966346,0
50967389,0
50969168,0
50971257,0
50975696,0
50976049,0
50976292,0
50976735,0
50977031,0
50977106,0
50977769,0
50977832,0
50978268,0
50978793,0
50979110,0
50979439,0
50979570,0
50980167,0
50980316,0
50980324,0
50980540,0
50980568,0
50981591,0
50981656,0
50983145,0
50983270,0
50983311,0
50985784,0
50991737,0
50993925,0
50994666,0
50994914,0
50995495,0
50995787,0
50995917,0
50995964,0
