Acct,Acct_status,clientPID,PlanStatus,Active_date,Term_date
49466892,-1,HZ_MultiCarrier_Addon,1,11/3/17,None
49466892,-1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49467616,-2,HZ_MultiCarrier_Addon,2,11/3/17,None
49467616,-2,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49472170,1,HZ_MultiCarrier_Addon,1,11/3/17,None
49472170,1,HZ_MultiCarrier_Addon_Trial,3,8/3/17,1/26/18
49472951,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49472951,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49473010,-1,HZ_MultiCarrier_Addon,1,11/4/17,None
49473010,-1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49474011,-2,HZ_MultiCarrier_Addon,2,11/4/17,None
49474011,-2,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49474235,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49474235,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49475147,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49475147,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49475336,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49475336,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49475345,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49475345,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49475431,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49475431,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49475439,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49475439,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49476118,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49476118,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49476415,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49476415,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49476589,-2,HZ_MultiCarrier_Addon,2,11/4/17,None
49476589,-2,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49476849,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49476849,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49476900,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49476900,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49477371,-2,HZ_MultiCarrier_Addon,2,11/4/17,None
49477371,-2,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49477522,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49477522,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49477641,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49477641,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49477705,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49477705,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49478240,-2,HZ_MultiCarrier_Addon,2,11/4/17,None
49478240,-2,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49478407,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49478407,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49479621,-1,HZ_MultiCarrier_Addon,1,11/4/17,None
49479621,-1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49479661,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49479661,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49480213,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49480213,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49480734,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49480734,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49480943,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49480943,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49480970,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49480970,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49481536,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49481536,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49481835,1,HZ_MultiCarrier_Addon,1,8/7/17,None
49482097,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49482097,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49482550,1,HZ_MultiCarrier_Addon,1,11/4/17,None
49482550,1,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
49483400,-2,HZ_MultiCarrier_Addon,1,11/4/17,None
49483400,-2,HZ_MultiCarrier_Addon_Trial,3,8/4/17,1/26/18
